British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Bay-breasted Warbler,,Setophaga castanea,A,†,,,6260
Chestnut-sided Warbler,,Setophaga pensylvanica,A,†,,,6270
Yellow Warbler,American Yellow Warbler,Setophaga aestiva,A,†,,,6280
Cape May Warbler,,Setophaga tigrina,A,†,,,6290
Yellow-rumped Warbler,,Setophaga coronata,A,†,,,6300
Canada Warbler,,Cardellina canadensis,A,†,,,6310
Wilson's Warbler,,Cardellina pusilla,A,†,,,6320
Rose-breasted Grosbeak,,Pheucticus ludovicianus,AF,†,,,6330
Indigo Bunting,,Passerina cyanea,AE,†,,,6340
Summer Tanager,,Piranga rubra,A,†,,,6350
Scarlet Tanager,,Piranga olivacea,A,†,,,6360
